Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Czechoslovakia,3.7505,3.921,4.0915,4.262,4.4325,4.603,4.7735,4.944,5.1145,5.285,5.4555,5.626,5.7965,5.967,6.1375,6.308,6.4785,6.649,6.8195,6.99,7.1605,7.331,7.5015,7.672,7.8425,8.013,8.1835,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.75475,0,0.056471,0,0.048643,25.84458,1.30865,3.451803,6.106191,10.81339,13.42243,16.60651,18.87381,32.93713,26.79227,30.07135,31,32.2566,14.89967,25.02861,29.44953,32.01711,37.538045,46.36185,118.77849,13.830013,9.7713654,2.5121454,8.6292907,14.1989163,21.5494383,20.6673077,22.5299776,32.6241038,62.4302104,560.21391,644.8009708,274.071
Dominica ,,,,,,,,,,,,,,,,,,,0,0,0,0.2385,0.368106,0.004018,0.0037839,0,0,0.0620725,0.028,0.0198653,3.5203022,0.1560289,0.8844986,0.195892,0.2199806,2.2232301,3.7654412,0.4741323,0.4654059,0.4038227,0.4051462,0.3145867,96.6513313,150.0293838,150.5321096,67.2955452,67.5967688,60.4398072,63.0187013,63.7387031,47.7231601,47.391,52.892,8.1178876,8.2150675,8.093,7.2746449,7.217,8.071,9.054,12.222,16.222
Dominican Republic,1,13.5,15,34,61,4,24,47,39,19,0.729,3.021,4.26,1.734,2.267,4.156,9.208,17.372,19.346,11.42,26.0717616,34.036758,564.3404387,572.8679681,235.3124542,1082,990.5055354,1207.439199,1389.508484,1550.542797,1958.624156,2119.283981,1634.602984,1741.238334,1663,546.205,569.9317247,548.6501357,476.5456796,489.0165274,98.0708367,85.9713341,113.9298785,650.6924261,312.452,1570.931,51.5816394,22.056117,17.5360269,0.0803545,0.107067,0.3607272,0.3785475,0.4261971,2.5389305,2089.586464,2.5884399,14.0553191,6.885,6.885,23.073,6.885
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0.473,0,0,0,1.285007,34.67124,8.882704,234.2605,24.32479,166.6332,2643.4417,2978.607,3503.4192,4766.97,1113.3184,5726.49243,6114.8176,6278.467181,6583.215765,7136.179309,7485.283806,7103.411789,6907.886494,7199.74281,98.855301,382.065414,189.0530502,8051.593722,7672.119237,15.092628,12.827163,85.819,37.52704,36.93427,11.1796,12.08003,3230.90033,3316.14713,50.6228231,98.1172671,188.1123554,201.8432745,194.7808161,209.7246493,224.6795474,1256.61672,256.6416451,269.4449232,19575.6119,250.0539232
Egypt,0,0,0,0,277,560,211.5,62.2,152.8,211,86.321,70.141,90.779,25.605,39.662,22.073,124.981,7105.5,95.51,345.53,484.27,641.921,977.565,1484.128,2721.969,4578.438,13706.771,10882.292,8345.556,11196.253,18005.133,23529.016,877.651,724.422,543.1,516.029,366.746,180.873,103.104,113.559,52.63,4.287,2.366,3.98,7.751,10.956,3.159,2.968,2.198,2.618,0.0030801,0.0015353,0,0.00308,0.0014488,0.0013857,0,0,1.4222306,0.9144077,2.857,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0,604.4,568.909,533.567,542.308,464.522,221.511,208.564,199.255,226.386,251.25,146.957321,105.6953043,740.0185402,59.586,51.43172727,54.14988506,15.243,5.784,1.476,16.999,0,0,0,0,0,0,0,2.57,0,0,0,0,0,0,0,0,6033,0,0,0,0
Equatorial Guinea,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.26,16.11,36.33,38,5.8,13.4,23.1,40,13.4,16.8,4.6,46,51,27,33.9,35.7,12.4,63,98,85,72,64,4.1,30,0,75,0,0,0,0,0,0,0,0,0,949,117,150,157,1173
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,6.816805,4.121,7.943,16.29411,29.75162,15.464119,24.924498,47.979039,33.7435,22.846491,22.4896336,28.6893541,56.4361531,82.7657299,109.1391921,129.1295629,153.7613754,184.4540837,211.8277428,241.4786665,276.1158195,317.1277049
Ethiopia,0,0,0,0,0,0,0,0,0,0,0.455,0.423261,0.772724,0.068228,0.125455,0.320752,1.201672,1.261873,0.811,1.711364,1.125,1.283953,1.356151,1.221464,1.290765,1.416306,1.137,54.11032,15.693944,68.51748,278.92399,1087.4143,2373.471,2517.8305,3259.0126,4099.5904,4801.6143,5596.2293,5828.3854,1448.3972,717.09222,670.62898,675.74153,636.0477,2058.95205,727.7503,420.393249,405.27075,404.727284,404.725577,402.8445699,393.438174,382.2046173,382.962783,382.8863176,382.6311869,382.5952323,383.9355266,3691.667458,501.5028969,493.492616,694
Fiji,,,,,,,,,,,0,0,0,0,0,0,0.030419,0.194038,0,0.699932,0.298125,0,0.001,0,0,0,0,0,0,0,0.019086,0.045591,0.065389,0.080638,0.110704,0.139309,0.150359,0.147964,0.203015,0.194892,0.199127,0.213665,0.557764,0.723891,0.400457,0.370426,2.9927289,4.050474,2.571763,3.700503,0.1062445,0.4759359,0.2115646,0.6199867,0.028,0,0,0,0,0,10.5455667,29
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182875,0.049149,0,60,0,0.028059,1.52674,5.076138,0.401199,0.089712,0.290873,128.22163,370.587561,462.354841,1003.943572,719.6204406,925.0914,890.9383,1291.7051,2066.0824,1061.21557,333.702953,237.866306,266.340002,269.594954,978.71864,243.2004,139.27437,795.60178,1142.68663,856.92535,1104.303125,2355.96926,32.884771,10.095221,8.5105797,9.2354855,10.9583824,15.2550166,0,25.4379364,177.4045485,1408.09216,105.1186027,75.4766458,213.2377577,889
The Gambia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.015202,0.037746,0,0.293921,0.574286,2.424911,4.946883,11.380642,56.86037403,67.6018202,11.626441,28.834693,11.362513,1.481691,2.151371,2.19823,4.464491,6.397059,2.885492,2.045162,1.148508,0.871921,1.429024,2.147324,8.501854,12.76952,21.84055,24.08307,21.40546,22.875175,18.6148,26.1,20.90349,24.9200072,21.1970676,25.1702971,21.1117511,14.2966188,7.6364402,1.881009,16.9886074,35.5568313,23.1685057,38.9135686,36.134
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1,0.2,58.35468,272.5887,449.2671,150.8251,59.17679,113.4262,180.6694,299,350.1591,320.6131,260,218.8315,217.11764,39.81837,35.365,35.365,35.365,35.365,35.6750971,51.2120252,35.365,35.365,35.365,35.365,7.295,7.295,7.295,7.295
Ghana,0,0,0,0,0,116,178.65,57,246,50,43.44214,34.71794,76.11708,112.68012,221.26566,54.96482,34.11602,38.35984,28.606257,924.62383,9.287515,18.316591,2553.047305,17.894639,29.699199,44.13919,54.115388,76.11805,77.44824,113.48198,132.97018,167.23686,121.9357,158.64018,150.98286,117.10605,134.78825,27.13113,79.17143,107.99444,111.11073,411.3553,293.99185,219.76514,1640.86538,61.43579,85.258045,172.45424,22.885274,77.36774,81.9378229,139.7611347,214.6582771,468.6095801,347.8325365,568.032916,587.9478654,843.3314446,1134.607832,1132.569637,1141.389967,1125
Greece,368.6016,377.7548,386.908,301.0812,307.6444,314.2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312420,212819,0,2222,0,0,110938,0,0,0
Grenada,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.415,0.415,0.726751,2.608903,6.948624,8.862008,14.429374,18.651787,25.49299,37.88492,45.26637,43.29384,43.44495,45.24962,46.90871,49.37198,17.289165,16.849014,20.319461,19.248351,19.466836,18.923043,17.939772,303.12097,329.587991,32.326361,37.64606,50.13954,59.48124,41.6504024,45.2761322,80.6103986,348.3133269,377.9477019,419.0259849,163.1036594,76.9415648,32.331,34.4791215,37.9772365,48.784
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,18.07,76.56,233.19,329.78,324.18,915.08,506.47,533.54,519.77,907.98,447.82,477.85,488.26,474.94,461.32,492.23,541.09,580.26,522.08,535,548.76,544.9,538,0.03,0,0,0,0,0.0040193,0.389,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,29,0,7,9,9,21.63999,41.88361,62.846,95.89606,129.62462,157.77279,172.31241,200.73042,242.93898,249.02305,134.27115,160.13993,191.14829,207.31389,201.51857,261.209,225.89437,211.6683,304.2214,654.90685,319.28022,344.6338,486.89056,413.12979,565.3299,628.11721,534.94744,605.77425,697.7782,575.1535,491.9947,428.806,425.2547,429.5611,406.74285,404.73116,417.43968,430.81676,429.24261,214.15398,248.2491204,157.8164933,2064.169918,86.7557312,85.3553612,84.2352701,83.769119,85.0408276,84.7399954,84.7093358,118.4971571,128.9306143
Guinea-Bissau,,,,,,,,,,,,,,,0,0,0.107,0.217,0.621763,2.320413,5.404953,15.544164,28.114089,32.6941,26.786399,37.532021,48.34625,50.999177,49.994865,117.39026,163.17352,180.67218,224.90274,272.40372,341.21031,354.88451,381.9019,226.6426,254.0876,283.0411,307.1729,323,354.2438,398.2614,557.2065,384.4077,384.14276,393.7007,424.4279,472.819,491.7601967,839.176438,74.061,74.094,74.083,74.138,74.161231,77.0637861,67.6598158,68.083313,69.9199315,76.8
Guyana,,,,,,,0,0,0,0,0,0,0.538,0.768,2.157,3.46,17.02308,25.08174,39.25361,106.09034,77.83819,82.35061,131.19221,172.13773,293.0332437,373.5125104,458.2725903,608.4057255,659.3522532,786.6105414,616.9980593,348.0575,238.0197,194.01178,205.93676,248.85511,919.17708,195.44817,176.51668,449,146.80724,154.62161,163.2113,190.05681,196.64245,249.35398,172.0739916,240.698761,183.20907,174.77818,185.2475008,189.0590515,192.7961323,474.4171031,313.3312187,246.2984403,170.754481,164.7881728,166.6832126,97.8542239,239.0133236,87.75715
Haiti,1,1,1,27,27,29,0.2,3.55,4.2,5.5,4.32,4.32,4.326,4.052,0.054,2.99,0,0,0,0,0,0.149991,2.689112,9.765266,17.59743,29.93381,38.50497,41.68147,104.5191179,100.6966119,66.62374,230.7949,84.97211,179.5946367,207.0539422,199.645,5.171746,3.851,2.88,3.203,3.46032,12.017,38.139,88.0212,89,36.4845,69,51.27798,19.4729,161,773.852047,557.4025468,6.7403149,9.4164768,6.1150085,19.7143732,3.8193241,10.1170906,3.8278244,94.8865336,2.4920028,128
