"Real long term government bond yield, percent",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.16986458,11.13194443,13.41324505,12.06158007,13.2963522,12.65969398,14.39556911,14.3502445,11.78195302,8.191814089,2.513527939,2.103731236,2.272044621,8.015000012,3.948279465,2.266666667,5.351810431,8.193489978,1.802817797,-29.70582476,-23.96948244,10.64734708,5.581357278,1.889629377,4.661061517,7.614165454,4.957405944,10.0164151,6.14242749,5.297904631,7.192941961,7.796868233
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.836217793,0.911465616,3.420044889,-3.413834072,-2.453932407,0.719565219,0.162036565,2.593477027,0.803056148,3.779630085,3.171287432,0.433187312,-0.538555257,1.66693767,2.115342056,1.211906363,0.993412729,-0.458238106,-1.647060835,-2.563153084,-2.084510095
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.92982456,-14.86389347,-7.554122442,-3.911064661,-2.34275257,-1.942106745,-0.127364497,-2.9336051,-2.376129623,-2.414021079,0.862504035,1.094054751,1.351528174,1.390915465,0.865243062,-1.044008427,3.532081872,2.022939388,3.1704066,3.52883016,4.351053564,5.921976608,1.824561523,0.725785486,-0.517037219,-1.02342744,-1.515475727,0.163796253
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,-6.398713833,-1.983425415,4.765281179,-0.047180666,2.43177892,-0.571878986,1.340966968,-4.737526547,-2.494747885,4.012407342,-2.133464072,2.248839602,3.831337716,-0.256032613,3.370780287,-0.274356366,3.665998626,0.100496187,0.318284873,-0.93802418,0.025700361,-3.978096489,-1.317925797,-1.996770446,-4.33712549,-7.976449122,-4.424840819,-14.08006521,-3.852717164,2.188518367,-4.1027071,-2.672006015,-2.151363814,-1.925902437,3.814469298,2.727514393,2.75131326,-0.221474879,1.605144539,
South Africa,4.004692299,3.671166905,4.140068316,3.412322352,2.235809885,1.53506828,2.760929527,2.960794163,4.513687984,3.261961943,2.154128625,2.417328358,1.927570663,-1.601469394,-2.765774593,-3.717429955,-0.583890524,-0.14341213,-0.739961565,-4.033558552,-3.574438832,-2.266718983,-1.130677993,0.361732472,3.700218107,0.497407567,-2.289093361,-0.863895822,3.592125275,2.169892933,1.829904836,1.009344806,1.565345111,4.250032324,5.893133185,7.426225685,8.129219134,6.099705403,8.241954046,9.720183213,8.447719125,5.704767635,2.006117826,3.936412138,10.21870293,6.003825744,4.693590864,1.807200037,-0.974581899,1.488013284,4.52527299,3.52073,2.175341152,1.938036385,2.120160517,3.625191171,2.449429125,3.88242198,4.613667024,4.957254392,6.905794793
Spain,,,,,,,1.841529965,1.577219963,3.764839888,7.78290987,5.208409786,1.671509981,1.407320023,-0.659491003,-3.523269892,-4.273220062,-2.412770033,-12.50269985,-7.740200043,-2.412489891,0.321898013,1.550799966,1.784279943,4.926199913,5.419809818,4.385379791,2.505089998,7.651949883,6.941050053,6.968659878,7.921740055,6.463950157,4.549310207,5.641640186,5.277709961,6.596169949,5.137989998,4.524799824,3.069780111,2.492980003,2.042623845,1.527062397,1.855783656,1.085278273,1.064084522,0.017852569,0.268590898,1.520702542,0.288823307,4.26197975,2.450968756,2.241398112,3.401372176,3.154752242,2.872781504,2.23536571,1.595098,-0.396909667,-0.255814702,-0.032852328,0.701919684
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.725036779,2.912351104,1.8332316,4.540416247,4.059879639,5.610997688,5.136632174,8.099441548,3.446282327,8.407462249,6.935356459,
Sweden,0.047010999,2.640049934,0.195134997,1.897220016,2.819999933,1.020190001,0.759217024,1.762169957,4.266670227,4.162859917,0.753968,-0.154944003,1.101629972,0.865342021,-2.351739883,-0.96222198,-0.886582017,-1.824249983,-0.033093002,3.06388998,-1.89636004,1.33615005,4.398029804,3.461620092,4.275360107,5.678609848,6.059999943,7.217350006,5.398890018,4.859620094,2.693929911,1.353379965,7.724180222,3.900549889,7.21062994,7.7115798,7.559000015,4.813149929,3.957459927,4.430990219,3.564926359,2.668668004,2.774148602,2.461775542,3.005776171,2.499848321,2.304602639,2.665849763,-0.917373499,1.361834569,1.374565842,0.255714461,0.596966279,2.083217327,0.727592648,0.290559502,-0.590233122,-1.08882004,-1.571755428,-1.568021673,-0.633304691
Switzerland,1.638389945,1.131700039,-1.163519979,-0.193113998,0.858566999,0.546491027,-0.590593994,0.560760975,1.972740054,2.406840086,2.200900078,-1.285969973,-1.693079948,-3.140549898,-2.60213995,-0.313905001,3.289720058,2.747509956,2.293730021,-0.177729994,0.737742007,-0.920219004,-0.822713017,1.547309995,1.787310004,1.334200025,3.540869951,2.67001009,2.288889885,2.038269997,1.269379973,0.505868971,1.427440047,0.732161999,4.387569904,1.918580055,2.817600012,2.485820055,2.592700005,2.354110003,2.149279204,2.168818822,2.24338677,1.521665394,1.524071315,0.678459683,1.327144187,2.07513297,0.266726573,2.300260351,0.623702195,0.939130486,1.061940091,0.809247417,0.406512806,0.793241214,-0.160721662,-0.86729796,-1.155306788,-1.025292886,0.118761524
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.447468002,0.694751068,3.920901728,7.860616804,13.60761972,11.21977738,7.940430564,4.077323724,-1.255351073,3.159031632,1.31903053,-1.735352557,7.12734476,8.701261718,11.17032498,12.49718476,5.775696169,6.980876578,7.634638213,3.804537889
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.586797238,8.809592966,0.778131042,7.683710981,4.120248139,2.929654752,2.800656621,2.951022901,1.936378632,0.928272562,0.685958115,2.788333333,-2.826318108,5.053901411,0.427443058,-0.52353963,0.497634115,1.711516343,0.83471051,3.399442193,2.460806571,1.658875898,1.417690416,0.772202558,2.167687834
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92281825,4.674605261,6.309124841,3.791094789,,,,,
"Türkiye, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.01111175,-14.84836074,39.06013247,19.77492568,21.03608313,16.14277784,8.197921681,-1.129144504,0.062832775,-0.913476124,3.199023369,0.983780514,3.033556837,-0.19014704,0.573909695,0.555108561,1.640964533,2.426220428,-0.021537647,-0.50314119,0.444560542,0.096558427
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.933916002,-13.85837436,-0.154476718,-1.888430702,-0.146225316,8.141400664,9.12382315,0.347075038,23.66380985,-5.042153154,-7.061452016,-3.038285988,-0.462455007,3.919498836
United Kingdom,4.463059902,2.645499945,1.861009955,3.382200003,2.80418992,1.628329992,2.776139975,4.480690002,2.52463007,3.726830006,2.295730114,-0.123277999,1.966210008,1.439560056,-0.821267009,-9.797820091,-2.168550014,-3.501960039,3.627830029,-2.068660021,2.012470007,1.035279989,3.367599964,5.628039837,5.149980068,4.09856987,6.449669838,5.302410126,4.430930138,1.777420044,1.627439976,4.066009998,5.391570091,6.30136013,5.57103014,4.844009876,5.652130127,4.973879814,3.574239969,3.832770109,4.53187694,3.697321338,3.636087041,3.165074004,3.539810293,2.356389569,2.173787534,2.688825043,0.9889178,1.482179549,0.325995091,-1.328693294,-0.911575432,-0.173965488,1.106468591,1.861567294,0.64450055,-1.448131374,-1.018889523,-0.85435392,-0.477320695
United States,3.029129982,3.240050077,3.193010092,2.892780066,3.046000004,2.717000008,1.684460044,2.2525599,1.685520053,1.107929945,1.711770058,2.897910118,3.741159916,0.93305701,-3.206899881,-0.794981003,2.658390045,1.550439954,1.097339988,-1.620190024,-1.561720014,3.791690111,7.631639957,8.880470276,8.341799736,7.816440105,7.099780083,6.251319885,6.096389771,4.886020184,3.152050018,3.623369932,3.981179953,2.871670008,4.500889778,3.773750067,3.507129908,4.014929771,3.717159986,3.443530083,2.662483325,2.200871243,3.015163764,1.717001483,1.606594203,0.924170012,1.569577216,1.758616371,-0.148286732,3.577024259,1.577597117,-0.353818944,-0.270690974,0.884861782,0.925370045,2.014696101,0.574306123,0.19855505,0.471238463,0.333094204,-0.354334682
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251950948,3.240558719,1.530864201,3.941558429,4.434143079,5.697439215,5.770298696,7.093655591,5.169297769,4.717840125,6.501025109,5.962311561,4.922445487,6.536432448,5.483758708,7.081081074,7.300799478,6.459183669,4.647849456,3.658286785,4.15043427,5.474805303,7.0387069,6.291762987,6.359399688,7.012648258,5.320008052,6.854749053,4.495473771,5.258202906,4.827479736,1.790649258
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.24219886,-12.65913134,-8.57479,-4.311494968,-25.37447051,-47.06045931,,,,,,
